rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
222,frame_0204.jpg,81.6,0.3085,0.3449,0.0,0.68,5,0,False,False
223,frame_0024.jpg,9.6,0.3068,0.2136,0.0,1.0,10,0,False,False
224,frame_0389.jpg,155.6,0.3065,0.415,0.25,0.12,14,2,False,False
225,frame_0216.jpg,86.4,0.3014,0.3518,0.125,0.44,8,1,False,False
226,frame_0267.jpg,106.8,0.3006,0.4031,0.25,0.12,11,2,False,False
227,frame_0190.jpg,76.0,0.2999,0.4768,0.125,0.12,10,1,False,False
228,frame_0218.jpg,87.2,0.2999,0.3059,0.25,0.36,9,2,False,False
229,frame_0123.jpg,49.2,0.2992,0.2673,0.125,0.64,14,1,False,False
230,frame_0177.jpg,70.8,0.2973,0.4395,0.125,0.2,13,1,False,False
231,frame_0317.jpg,126.8,0.2961,0.3621,0.25,0.2,12,2,False,False
232,frame_0095.jpg,38.0,0.2934,0.4478,0.125,0.16,14,1,False,False
233,frame_0189.jpg,75.6,0.2851,0.3881,0.25,0.08,11,2,False,False
234,frame_0122.jpg,48.8,0.2846,0.3293,0.0,0.6,15,0,False,False
235,frame_0327.jpg,130.8,0.2841,0.4772,0.125,0.04,18,1,False,False
236,frame_0104.jpg,41.6,0.282,0.3659,0.25,0.12,14,2,False,False
237,frame_0332.jpg,132.8,0.2793,0.4677,0.125,0.04,22,1,False,False
238,frame_0272.jpg,108.8,0.2718,0.3616,0.25,0.08,15,2,False,False
239,frame_0279.jpg,111.6,0.2682,0.3174,0.125,0.36,10,1,False,False
240,frame_0091.jpg,36.4,0.2653,0.4026,0.0,0.32,9,0,False,False
241,frame_0088.jpg,35.2,0.2631,0.2752,0.125,0.44,12,1,False,False
242,frame_0308.jpg,123.2,0.2554,0.3718,0.125,0.16,10,1,False,False
243,frame_0197.jpg,78.8,0.2497,0.3393,0.0,0.4,5,0,False,False
244,frame_0311.jpg,124.4,0.2486,0.4811,0.0,0.04,15,0,False,False
245,frame_0199.jpg,79.6,0.2377,0.2083,0.125,0.48,5,1,False,False
246,frame_0220.jpg,88.0,0.2344,0.2819,0.125,0.28,10,1,False,False
247,frame_0269.jpg,107.6,0.2269,0.3628,0.125,0.04,12,1,False,False
248,frame_0397.jpg,158.8,0.2267,0.2983,0.125,0.2,12,1,False,False
249,frame_0184.jpg,73.6,0.2189,0.4059,0.0,0.08,10,0,False,False
250,frame_0105.jpg,42.0,0.2112,0.3903,0.0,0.08,14,0,False,False
251,frame_0198.jpg,79.2,0.1996,0.2233,0.0,0.44,7,0,False,False
252,frame_0196.jpg,78.4,0.193,0.242,0.0,0.36,5,0,False,False
253,frame_0224.jpg,89.6,0.1811,0.2392,0.125,0.12,13,1,False,False
254,frame_0313.jpg,125.2,0.1751,0.2592,0.125,0.04,10,1,False,False
255,frame_0275.jpg,110.0,0.1672,0.2544,0.0,0.2,17,0,False,False
256,frame_0183.jpg,73.2,0.1434,0.2708,0.0,0.04,9,0,False,False
